rank,date,qantas_drop_percent,qantas_close,qantas_open,asx200_movement_percent,market_context,news_articles_found,primary_cause,categories,top_headlines,article_sources,article_urls,profit_vs_expectations,safety_events
53,2015-06-02,-4.23,3.102,3.239,-1.73,Similar to market,5,"The primary cause of the Qantas share price drop on 2 June 2015 was **profit-taking after a strong rally**, as investors sought to lock in gains following a significant surge in the stock price.",Profit-taking; Market volatility,"Analysis: Qantas share price drop on 02-Jun-2015; Qantas shares had surged 172% over the previous 12 months** due to falling oil prices, operational improvements, and strong financial results[1].; By May 2015, Qantas shares reached a six-year high, leading some analysts and investors to question whether the stock was overvalued and to consider taking profits[1][2].",Perplexity Analysis; News Archive; News Archive,https://www.fool.com.au/2015/05/12/qantas-airways-limited-shares-fly-to-6-year-high-is-it-a-bargain/; https://www.fool.com.au/2015/02/02/are-the-good-times-about-to-end-for-qantas-airways-limited-shareholders/; https://www.qantasnewsroom.com.au/media-releases/qantas-half-year-2015-financial-results/; https://www.ato.gov.au/law/view/pdf/pbr/cr2015-101.pdf; https://investor.qantas.com/investors/?page=historical-share-price; https://www.goerie.com/story/news/nation-world/2015/02/26/qantas-rebounds-from-loss-to/24794467007/; https://www.straitstimes.com/business/companies-markets/qantas-sees-13-fall-in-first-half-profit-shares-tumble; https://investor.qantas.com/FormBuilder/_Resource/_module/doLLG5ufYkCyEPjF1tpgyw/file/full-year-results/mediaReleaseProposedCapitalManagementInitiative.pdf; https://www.marketindex.com.au/asx/qan; https://investor.qantas.com/DownloadFile.axd?file=%2FReport%2FComNews%2F20151026%2F01676261.pdf; https://www.fool.com.au/2015/02/02/are-the-good-times-about-to-end-for-qantas-airways-limited-shareholders/; https://www.qantasnewsroom.com.au/media-releases/qantas-half-year-2015-financial-results/,No profit results reported.,
54,2013-06-05,-4.22,1.346,1.405,-1.34,Similar to market,5,"The Qantas share price drop on 5 June 2013 was primarily due to profit warnings of a $300 million pre-tax loss and increased competition, eroding market share and profit margins, leading to loss of investor confidence.",Profit warnings; Competition,"Analysis: Qantas share price drop on 05-Jun-2013; Profit warnings:** Qantas announced it expected a $300 million pre-tax loss for the six months to December 2013, which was only its second loss since privatization in 1995[3][5].; Aggressive competition:** Increased capacity and price competition from domestic and international rivals, especially Virgin Australia, eroded Qantas' market share and profit margins[4].",Perplexity Analysis; News Archive; News Archive,https://www.fool.com.au/2016/06/02/3-reasons-why-the-qantas-airways-limited-share-price-has-dropped-26-this-year/; https://www.fool.com.au/2023/07/04/why-the-qantas-share-price-flew-into-turbulence-in-june/; https://www.sbs.com.au/news/article/qantas-shares-hit-a-new-low/kuhkqvkwg; https://www.fool.com.au/2013/12/06/heres-why-qantas-plunged-17-on-thursday-morning/; https://www.fool.com.au/2013/12/12/qantas-drops-to-all-time-low-time-to-buy/; https://www.fpmarkets.com/qantas-share-price/why-did-the-qantas-share-price-fall-6-today/; https://investor.qantas.com/investors/?page=historical-share-price; https://www.ig.com/au/news-and-trade-ideas/how-the-coronavirus-pushed-the-qantas-share-price-40--lower-200310; https://investor.qantas.com/FormBuilder/_Resource/_module/doLLG5ufYkCyEPjF1tpgyw/file/full-year-results/investorPresentation13.pdf; https://investor.qantas.com/FormBuilder/_Resource/_module/doLLG5ufYkCyEPjF1tpgyw/file/full-year-results/mediaReleaseResults13.pdf; https://investor.qantas.com/DownloadFile.axd?file=%2FReport%2FComNews%2F20131205%2F01474079.pdf; https://www.youtube.com/watch?v=Xibqqxv0hdU; https://www.fool.com.au/2023/07/04/why-the-qantas-share-price-flew-into-turbulence-in-june/; https://www.sbs.com.au/news/article/qantas-shares-hit-a-new-low/kuhkqvkwg,No profit results reported.,
55,2021-11-26,-4.21,4.844,5.057,-1.68,Similar to market,1,"The Qantas share price dropped on 26 November 2021 primarily due to market fears over the emergence of the Omicron COVID-19 variant, triggering renewed global travel restrictions and uncertainty for the airline industry.",COVID-19; Market volatility,Analysis: Qantas share price drop on 26-Nov-2021,Perplexity Analysis,https://www.fool.com.au/2022/01/03/how-did-the-qantas-asxqan-share-price-perform-in-2021/; https://www.fool.com.au/2025/02/13/2-things-dragging-the-qantas-share-price-lower-on-thursday/; https://www.fool.com.au/2021/08/16/the-qantas-asxqan-share-price-is-down-4-in-a-month-heres-why/; https://www.ig.com/ae/news-and-trade-ideas/qantas-share-price-takes-flight-following-fy21-report-210826; https://investor.qantas.com/investors/?page=historical-share-price; https://www.youtube.com/watch?v=lPV5iAnQRy0; https://www.qantasnewsroom.com.au/media-releases/qantas-group-announces-post-covid-recovery-plan-and-equity-raising-for-a-stronger-future/; https://investor.qantas.com/FormBuilder/_Resource/_module/doLLG5ufYkCyEPjF1tpgyw/file/2021FY/FY21-Interim-Financial-Report.pdf; https://www.marketindex.com.au/asx/qan; https://www.investordaily.com.au/news/55095-qantas-shares-dip-following-120m-deal-with-accc; https://www.qantasnewsroom.com.au/media-releases/qantas-group-posts-significant-loss-from-full-year-of-covid/,No profit results reported.,
56,2015-08-21,-4.17,3.148,3.284,-1.4,Similar to market,5,"The Qantas share price drop was primarily due to investor disappointment over the lack of a dividend, as the company opted for a capital return and share consolidation despite reporting strong profits.",Technical adjustment; Profit warnings,"Analysis: Qantas share price drop on 21-Aug-2015; Qantas announced an underlying profit before tax of $975 million and a statutory profit before tax of $789 million for the year ended 30 June 2015**—a significant turnaround from the previous year[1].; Instead of declaring a dividend, **Qantas proposed a $505 million capital return (23 cents per share) and a related share consolidation**[1][3][5]. This was notable because, despite the strong profit,",Perplexity Analysis; News Archive; News Archive,https://investor.qantas.com/FormBuilder/_Resource/_module/doLLG5ufYkCyEPjF1tpgyw/file/full-year-results/mediaReleaseResults15.pdf; https://www.fool.com.au/2025/10/01/after-hitting-record-highs-in-august-what-happened-with-qantas-shares-in-september/; https://investor.qantas.com/DownloadFile.axd?file=%2FReport%2FComNews%2F20151126%2F01689444.pdf; https://www.asxonline.com/content/dam/asxonline/public/notices/2015/oct/asx_045733.pdf; https://www.ato.gov.au/law/view/pdf/pbr/cr2015-101.pdf; https://investor.qantas.com/DownloadFile.axd?file=%2FReport%2FComNews%2F20151106%2F01682312.pdf; https://www.qantasnewsroom.com.au/media-releases/qantas-group-financial-results/?print=1; https://investor.qantas.com/investors/?page=historical-share-price; https://investor.qantas.com/FormBuilder/_Resource/_module/doLLG5ufYkCyEPjF1tpgyw/file/full-year-results/mediaReleaseProposedCapitalManagementInitiative.pdf; https://www.qantasnewsroom.com.au/media-releases/qantas-half-year-2015-financial-results/; https://www.qantas.com.au/infodetail/about/investors/2015AnnualReport.pdf; https://www.fool.com.au/2025/10/01/after-hitting-record-highs-in-august-what-happened-with-qantas-shares-in-september/; https://investor.qantas.com/DownloadFile.axd?file=%2FReport%2FComNews%2F20151126%2F01689444.pdf,"Yes, Qantas reported financial results within the period August 11–21, 2015.

1. **Reported profit/earnings figure:**  
   Qantas announced an **Underlying Profit Before Tax of $975 million** for the financial year ended 30 June 2015[2][3].

2. **Analyst expectations/consensus forecast:**  
   The consensus analyst forecast for Qantas' FY2015 underlying profit before tax was approximately **$850 million**[3].

3. **Beat, Met, or Missed expectations:**  
   Qantas **beat expectations**[3].

4. **By how much (percentage if available):**  
   The result was **~15% above consensus** (calculated as \((975-850)/850 \approx 14.7\%\))[3].

All figures are for the full year ended 30 June 2015, announced on August 20, 2015.",
57,2020-03-19,-4.04,2.073,2.16,-3.44,Market-wide decline,1,"The primary cause of the Qantas share price drop was the severe impact of the COVID-19 pandemic, leading to drastic operational reductions in response to a massive decline in travel demand and broader market panic selling.",COVID-19; Market volatility; Operational disruptions; Safety incidents,Analysis: Qantas share price drop on 19-Mar-2020,Perplexity Analysis,"https://www.ig.com/au/news-and-trade-ideas/qantas-share-price--what-s-the-outlook-as-fy20-profits-collapse--200820; https://daily.fattail.com.au/qantas-grounded-with-coronavirus-asx-qan-share-price-down-asxu/20200319/; https://www.fool.com.au/2022/10/17/has-the-qantas-share-price-finally-left-covid-in-its-contrail/; https://centreforaviation.com/analysis/reports/qantas-cuts-deep-but-well-placed-to-weather-covid-19-518552; https://australianaviation.com.au/2020/03/asx-chaos-as-qantas-and-virgin-shares-nosedive/; https://investor.qantas.com/FormBuilder/_Resource/_module/doLLG5ufYkCyEPjF1tpgyw/file/2020HY/QantasGroup_Update_Coronavirus_Response.pdf; https://investor.qantas.com/investors/?page=historical-share-price; https://australianaviation.com.au/2024/09/qantas-shares-finally-beat-pre-covid-peak/; https://www.ig.com/en/news-and-trade-ideas/how-the-coronavirus-pushed-the-qantas-share-price-40--lower-200310; https://www.qantasnewsroom.com.au/media-releases/qantas-group-announces-post-covid-recovery-plan-and-equity-raising-for-a-stronger-future/; https://www.tradingview.com/news/reuters.com,2025:newsml_L4N3PU00C:0-australia-shares-touch-a-7-month-low-dragged-by-banks-qantas-slips-on-ex-dividend/",No profit results reported.,"Yes, one safety-related incident involving Qantas was reported between March 12, 2020 and March 19, 2020:

1. **Brief description:** Shortly after departure from Port Moresby, Papua New Guinea, on a scheduled international flight to Cairns, the flight crew of a Qantas Bombardier DHC-8-402 (operated by Sunstate Airlines) detected fumes in the cockpit and cabin. The crew declared a PAN (urgency) and returned to land safely at Port Moresby. No injuries or damage were reported.
2. **Date:** March 16, 2020
3. **Flight number:** Not explicitly stated in the report, but the aircraft registration was VH-QOE[2]."
58,2020-07-03,-4.02,3.7,3.855,0.42,Qantas-specific (worse than market),5,"The Qantas share price dropped sharply due to the escalating impact of the COVID-19 pandemic, leading to significant reductions in flight capacity and a collapse in travel demand.",COVID-19,Analysis: Qantas share price drop on 03-Jul-2020; COVID-19 travel restrictions and border closures**; Sharp reductions in flight capacity**,Perplexity Analysis; News Archive; News Archive,https://www.fool.com.au/2021/07/23/qantas-asxqan-share-price-falls-as-capacity-drops-below-40/; https://www.ig.com/au/news-and-trade-ideas/how-the-coronavirus-pushed-the-qantas-share-price-40--lower-200310; https://australianaviation.com.au/2020/03/qantas-shares-drop-to-almost-three-year-low/; https://australianaviation.com.au/2024/09/qantas-shares-finally-beat-pre-covid-peak/; https://www.fool.com.au/2022/10/17/has-the-qantas-share-price-finally-left-covid-in-its-contrail/; https://www.fool.com.au/2023/01/16/shareholders-rejoice-qantas-share-price-hits-post-market-crash-high/; https://www.qantasnewsroom.com.au/media-releases/qantas-group-posts-significant-loss-from-full-year-of-covid/; https://investor.qantas.com/FormBuilder/_Resource/_module/doLLG5ufYkCyEPjF1tpgyw/file/2020FY/FY20-Media-Release.pdf; https://investor.qantas.com/investors/?page=historical-share-price; https://www.qantasnewsroom.com.au/media-releases/qantas-group-announces-post-covid-recovery-plan-and-equity-raising-for-a-stronger-future/; https://investor.qantas.com/FormBuilder/_Resource/_module/doLLG5ufYkCyEPjF1tpgyw/file/2020FY/FY20-Supplementary-Presentation.pdf; https://investor.qantas.com/FormBuilder/_Resource/_module/doLLG5ufYkCyEPjF1tpgyw/file/announcement/ASX_and_Media_Release.pdf; https://www.ig.com/au/news-and-trade-ideas/how-the-coronavirus-pushed-the-qantas-share-price-40--lower-200310; https://australianaviation.com.au/2020/03/qantas-shares-drop-to-almost-three-year-low/,No profit results reported.,
59,2015-10-08,-4.0,3.284,3.421,0.24,Qantas-specific (worse than market),5,The Qantas share price drop on 8 October 2015 was primarily due to investor profit-taking ahead of a significant capital return announcement and broader market volatility.,Profit-taking; Market volatility; Technical adjustment,"Analysis: Qantas share price drop on 08-Oct-2015; In August 2015, Qantas announced its intention to return surplus capital to shareholders via a **$505 million capital return** (23 cents per share), which required shareholder approval at the Annual G; Around this period, Qantas shares had experienced significant gains, rising more than 160% since July 2014, driven by improved operational performance, cost reductions, and lower fuel prices[1]. This ",Perplexity Analysis; News Archive; News Archive,https://www.fool.com.au/2015/12/15/will-the-qantas-share-price-soar-after-trading-update/; https://www.sbs.com.au/news/article/qantas-shareholders-pocket-another-500m/na0fh7l4v; https://investor.qantas.com/DownloadFile.axd?file=%2FReport%2FComNews%2F20151126%2F01689444.pdf; https://www.asx.com.au/asxpdf/20150820/pdf/430myx7kw5b690.pdf; https://www.ato.gov.au/law/view/pdf/pbr/cr2015-101.pdf; https://www.straitstimes.com/business/companies-markets/qantas-sees-13-fall-in-first-half-profit-shares-tumble; https://investor.qantas.com/FormBuilder/_Resource/_module/doLLG5ufYkCyEPjF1tpgyw/file/full-year-results/mediaReleaseProposedCapitalManagementInitiative.pdf; https://www.asxonline.com/content/dam/asxonline/public/notices/2015/oct/asx_045733.pdf; https://investor.qantas.com/DownloadFile.axd?file=%2FReport%2FComNews%2F20151106%2F01682312.pdf; https://investor.qantas.com/DownloadFile.axd?file=%2FReport%2FComNews%2F20151026%2F01676261.pdf; https://investor.qantas.com/investors/?page=historical-share-price; https://www.sbs.com.au/news/article/qantas-shareholders-pocket-another-500m/na0fh7l4v; https://investor.qantas.com/DownloadFile.axd?file=%2FReport%2FComNews%2F20151126%2F01689444.pdf,No profit results reported.,
60,2020-06-15,-3.99,4.194,4.369,-2.17,Market-wide decline,5,"The Qantas share price drop on 15 June 2020 was primarily due to the severe impact of the COVID-19 pandemic on air travel demand, compounded by market uncertainty and a planned capital raising that diluted existing shareholders.",COVID-19; Market volatility; Operational disruptions,"Analysis: Qantas share price drop on 15-Jun-2020; COVID-19 travel restrictions:** Global and domestic travel bans and lockdowns severely reduced passenger numbers, causing revenue to fall and forcing airlines like Qantas to cut costs and reduce fligh; Market uncertainty:** The broader equity markets were volatile due to fears of a prolonged economic downturn, which further pressured airline stocks[4].",Perplexity Analysis; News Archive; News Archive,https://www.fool.com.au/2020/07/09/how-did-the-qantas-share-price-perform-in-june/; https://www.ig.com/sg/news-and-trade-ideas/how-the-coronavirus-pushed-the-qantas-share-price-40--lower-200310; https://www.fool.com.au/2022/07/01/why-did-the-qantas-share-price-plunge-19-in-june/; https://www.ig.com/au/news-and-trade-ideas/how-the-coronavirus-pushed-the-qantas-share-price-40--lower-200310; https://investor.qantas.com/investors/?page=historical-share-price; https://www.qantasnewsroom.com.au/media-releases/qantas-group-announces-post-covid-recovery-plan-and-equity-raising-for-a-stronger-future/; https://www.marketindex.com.au/asx/qan; https://www.qantasnewsroom.com.au/search/2020/06/; https://investor.qantas.com/FormBuilder/_Resource/_module/doLLG5ufYkCyEPjF1tpgyw/file/2020FY/FY20-Media-Release.pdf; https://www.ig.com/sg/news-and-trade-ideas/how-the-coronavirus-pushed-the-qantas-share-price-40--lower-200310; https://www.fool.com.au/2022/07/01/why-did-the-qantas-share-price-plunge-19-in-june/,"No profit results reported by Qantas between June 05, 2020 and June 15, 2020.

Qantas’s financial year ended June 30, 2020, and its full-year results were released after this date, not within your specified window[1][2][3]. There is no evidence of an interim or preliminary earnings announcement during June 05–15, 2020.",
61,2011-06-28,-3.97,1.656,1.724,-0.06,Qantas-specific (worse than market),6,"The Qantas share price drop on 28 June 2011 was primarily due to ongoing losses in its international division, operational disruptions from natural disasters, and investor concerns about the sustainability of its international operations.",Operational disruptions; Profit warnings,"Analysis: Qantas share price drop on 28-Jun-2011; Qantas faced significant operational disruptions** between November 2010 and June 2011, including weather events and natural disasters, which had a total financial impact of $224 million on the group ; The company also reported **over $200 million in ongoing losses in its international division** for the year ending 30 June 2011[1][3].",Perplexity Analysis; News Archive; News Archive,https://investor.qantas.com/FormBuilder/_Resource/_module/doLLG5ufYkCyEPjF1tpgyw/file/full-year-results/mediaReleaseResults11.pdf; https://www.fool.com.au/2022/07/01/why-did-the-qantas-share-price-plunge-19-in-june/; https://en.wikipedia.org/wiki/Qantas; https://www.fool.com.au/2014/06/30/heres-why-qantas-airways-limited-has-plunged-today/; https://investor.qantas.com/investors/?page=historical-share-price; https://www.fpmarkets.com/qantas-share-price/why-did-the-qantas-share-price-fall-6-today/; https://companiesmarketcap.com/qantas-airways/stock-price-history/; https://en.wikipedia.org/wiki/2011_Qantas_industrial_disputes; https://www.aph.gov.au/Parliamentary_Business/Hansard/Hansard_Display?bid=chamber%2Fhansards%2F41ff3799-0350-4c51-b15a-87b0abc85c59%2F&sid=0224; https://www.fool.com.au/2022/07/01/why-did-the-qantas-share-price-plunge-19-in-june/; https://en.wikipedia.org/wiki/Qantas,No profit results reported.,
62,2015-11-30,-3.96,3.118,3.247,-0.69,Qantas-specific (worse than market),1,"The primary cause of the Qantas share price drop on 30 November 2015 was the stock trading ex-entitlement following a capital return and share consolidation, resulting in a mechanical adjustment to the share price.",Technical adjustment,Analysis: Qantas share price drop on 30-Nov-2015,Perplexity Analysis,https://www.fool.com.au/2022/11/30/why-did-the-qantas-share-price-take-off-in-november/; https://www.qantasnewsroom.com.au/media-releases/qantas-announces-strong-full-year-profit-shareholder-return-dreamliner-order/; https://www.fool.com.au/2015/12/15/will-the-qantas-share-price-soar-after-trading-update/; https://investor.qantas.com/DownloadFile.axd?file=%2FReport%2FComNews%2F20151126%2F01689444.pdf; https://www.ato.gov.au/law/view/pdf/pbr/cr2015-101.pdf; https://investor.qantas.com/FormBuilder/_Resource/_module/doLLG5ufYkCyEPjF1tpgyw/file/full-year-results/mediaReleaseProposedCapitalManagementInitiative.pdf; https://www.asxonline.com/content/dam/asxonline/public/notices/2015/oct/asx_045733.pdf; https://investor.qantas.com/investors/?page=historical-share-price; https://investor.qantas.com/FormBuilder/_Resource/_module/doLLG5ufYkCyEPjF1tpgyw/file/agm/notice-of-meeting-2015.pdf; https://investor.qantas.com/DownloadFile.axd?file=%2FReport%2FComNews%2F20151026%2F01676261.pdf,No profit results reported.,
63,2025-09-12,-3.96,11.243,11.707,0.68,Qantas-specific (worse than market),1,"The primary cause of the Qantas share price drop was natural profit-taking after the stock reached record highs, compounded by trading ex-dividend, which adjusted the apparent value decline.",Profit-taking; Technical adjustment,Analysis: Qantas share price drop on 12-Sep-2025,Perplexity Analysis,https://www.fool.com.au/2025/10/01/after-hitting-record-highs-in-august-what-happened-with-qantas-shares-in-september/; https://kalkinemedia.com/au/stocks/industrial/kalkine-qantas-shares-dip-after-jetstar-asia-exit-asx200-travel-giant-repositions; https://www.raskmedia.com.au/2025/07/02/qantas-asxqan-share-price-drops-on-cyber-attack/; https://www.marketscreener.com/news/australian-shares-end-week-higher-qantas-airways-to-cut-executive-bonuses-by-15-points-after-cyber-ce7d59d9d989f42c; https://www.fool.com.au/2025/06/11/qantas-share-price-lifts-off-on-big-asian-news/; https://www.raskmedia.com.au/2025/06/11/qantas-asxqan-share-price-falls-on-jetstar-asia-closure/; https://dividendstocks.cash/dividend-profile/Qantas%20Airways-Dividend; https://investor.qantas.com/investors/?page=historical-share-price; https://thebull.com.au/news/qantas-shares-asxqan-hit-record-high-as-airlines-rally/; https://www.etoro.com/au/news-and-analysis/stocks/four-stocks-to-watch-september-2025/,"No profit results reported.

Qantas released their FY25 financial results on August 28, 2025, which falls outside the specified period of September 2-12, 2025[2][3]. The company reported a statutory profit after tax of AU$1.61 billion (up 28% from the previous year) and an underlying profit before tax of AU$2.39 billion (up 15%)[2][3]. However, this announcement occurred before the requested timeframe.",
64,2020-03-09,-3.94,4.02,4.185,-7.33,Market-wide decline,5,"The Qantas share price drop on 09 March 2020 was primarily driven by escalating concerns over COVID-19, leading to a dramatic fall in travel demand and significant cuts to international flight capacity.",COVID-19; Safety incidents,"Analysis: Qantas share price drop on 09-Mar-2020; Intensifying coronavirus fears**: Investors panicked as COVID-19 cases surged globally, leading to widespread uncertainty and a sharp decline in travel bookings[2][3][5].; Qantas service cuts**: In response to collapsing demand, Qantas announced further reductions to its international flying program, cutting overall capacity by 23% out to mid-September 2020[2][5].",Perplexity Analysis; News Archive; News Archive,https://www.fool.com.au/2022/10/17/has-the-qantas-share-price-finally-left-covid-in-its-contrail/; https://www.ig.com/en/news-and-trade-ideas/how-the-coronavirus-pushed-the-qantas-share-price-40--lower-200310; https://australianaviation.com.au/2020/03/asx-chaos-as-qantas-and-virgin-shares-nosedive/; https://australianaviation.com.au/2024/09/qantas-shares-finally-beat-pre-covid-peak/; https://www.ig.com/au/news-and-trade-ideas/how-the-coronavirus-pushed-the-qantas-share-price-40--lower-200310; https://investor.qantas.com/FormBuilder/_Resource/_module/doLLG5ufYkCyEPjF1tpgyw/file/2020HY/QantasGroup_Update_Coronavirus_Response.pdf; https://www.fool.com.au/2020/03/10/qantas-share-price-on-watch-after-coronavirus-update/; https://investor.qantas.com/investors/?page=historical-share-price; https://www.qantasnewsroom.com.au/media-releases/qantas-group-announces-post-covid-recovery-plan-and-equity-raising-for-a-stronger-future/; https://www.youtube.com/watch?v=EGWf9mevxXA; https://www.ig.com/en/news-and-trade-ideas/how-the-coronavirus-pushed-the-qantas-share-price-40--lower-200310; https://australianaviation.com.au/2020/03/asx-chaos-as-qantas-and-virgin-shares-nosedive/,,"Based on the search results provided, there was one Qantas safety incident reported during the specified timeframe:

**YES - One safety incident reported:**

1. **Brief description**: A Bombardier DHC-8-402 aircraft (registration VH-QOE) operated by Sunstate Airlines for Qantas declared a PAN (urgency signal) due to fumes in the cabin described as smelling like ""dirty socks."" The crew detected the strange smell in the cockpit during climb and returned to the departure airport as a precautionary measure[2].

2. **Date**: March 16, 2020 at approximately 01:30 UTC (11:30 local time)[2]

3. **Flight details**: Scheduled international flight from Jackson's International Airport, Port Moresby, Papua New Guinea to Cairns, Queensland, Australia. No specific flight number was provided in the available information[2].

The incident was classified as a serious incident with no injuries to the 4 crew members or 8 passengers, and no aircraft damage was reported[2]."
65,2020-11-30,-3.93,5.212,5.425,-1.33,Similar to market,4,"The Qantas share price drop on 30 November 2020 was primarily due to ongoing financial pressures from the COVID-19 pandemic, including rising net debt and persistently weak international travel limiting revenue recovery.",COVID-19,"Analysis: Qantas share price drop on 30-Nov-2020; Rising net debt:** Qantas' net debt increased from $4.7 billion at 30 June 2020 to $5.9 billion at 30 November 2020, reflecting the financial strain of the pandemic and the need to raise capital throu; Persistently weak international travel:** Management indicated that international travel was expected to remain at a ""virtual standstill"" until at least July 2021, limiting revenue recovery and prolon",Perplexity Analysis; News Archive; News Archive,https://www.fool.com.au/2021/07/23/qantas-asxqan-share-price-falls-as-capacity-drops-below-40/; https://www.qantasnewsroom.com.au/media-releases/qantas-group-announces-post-covid-recovery-plan-and-equity-raising-for-a-stronger-future/; https://www.ig.com/en/news-and-trade-ideas/how-the-coronavirus-pushed-the-qantas-share-price-40--lower-200310; https://www.fool.com.au/2021/07/30/qantas-asxqan-share-price-drops-after-federal-court-loss/; https://www.raskmedia.com.au/2020/12/08/does-the-qantas-asxqan-share-price-still-represent-good-value/; https://www.qantasnewsroom.com.au/media-releases/qantas-group-posts-significant-loss-from-full-year-of-covid/; https://investor.qantas.com/investors/?page=historical-share-price; https://investor.qantas.com/DownloadFile.axd?file=%2FReport%2FComNews%2F20201203%2F02317651.pdf; https://www.qantasnewsroom.com.au/media-releases/qantas-group-announces-post-covid-recovery-plan-and-equity-raising-for-a-stronger-future/; https://www.ig.com/en/news-and-trade-ideas/how-the-coronavirus-pushed-the-qantas-share-price-40--lower-200310,No profit results reported.,
66,2011-08-08,-3.92,1.455,1.514,-2.27,Market-wide decline,1,The Qantas share price drop on 8 August 2011 was primarily due to a global stock market sell-off triggered by the U.S. credit rating downgrade and escalating fears over the European sovereign debt crisis.,Market volatility,Analysis: Qantas share price drop on 08-Aug-2011,Perplexity Analysis,https://www.fool.com.au/2023/09/06/why-did-the-qantas-share-price-dive-9-in-august/; https://investor.qantas.com/FormBuilder/_Resource/_module/doLLG5ufYkCyEPjF1tpgyw/file/full-year-results/mediaReleaseResults12.pdf; https://en.wikipedia.org/wiki/August_2011_stock_markets_fall; https://investor.qantas.com/FormBuilder/_Resource/_module/doLLG5ufYkCyEPjF1tpgyw/file/full-year-results/mediaReleaseResults11.pdf; https://investor.qantas.com/investors/?page=historical-share-price; https://investor.qantas.com/FormBuilder/_Resource/_module/doLLG5ufYkCyEPjF1tpgyw/file/half-year-results/2011InvestorPresentation.pdf,No profit results reported.,
67,2016-01-21,-3.91,3.367,3.504,0.46,Qantas-specific (worse than market),5,"The Qantas share price dropped due to weaker-than-expected demand for domestic services, a downward revision of capacity growth forecasts, and reduced international demand, leading to a significant loss of investor confidence.",Profit warnings; Competition; Market volatility; Safety incidents,"Analysis: Qantas share price drop on 21-Jan-2016; Qantas reported ""some softness in demand, related to the upcoming federal election and recent drop in consumer confidence in Australia""[2].; Weakness in bookings was observed over the peak Easter and school holidays in late March, and this trend continued into April and May[2].",Perplexity Analysis; News Archive; News Archive,https://www.fool.com.au/2021/07/23/qantas-asxqan-share-price-falls-as-capacity-drops-below-40/; https://www.fool.com.au/2016/04/18/why-the-qantas-share-price-has-crashed-today/; https://www.ig.com/au/news-and-trade-ideas/will-qantas-shares-be-joyced-along-with-the-customers--220930; https://www.ig.com/au/news-and-trade-ideas/how-the-coronavirus-pushed-the-qantas-share-price-40--lower-200310; https://investor.qantas.com/investors/?page=historical-share-price; https://www.fpmarkets.com/qantas-share-price/why-did-the-qantas-share-price-fall-6-today/; https://investor.qantas.com/FormBuilder/_Resource/_module/doLLG5ufYkCyEPjF1tpgyw/file/annual-reports/2016AnnualReport.pdf; https://www.annualreports.com/HostedData/AnnualReportArchive/q/ASX_QAN_2016.pdf; https://www.qantasnewsroom.com.au/media-releases/qantas-group-announces-post-covid-recovery-plan-and-equity-raising-for-a-stronger-future/; https://www.youtube.com/watch?v=VIHJ6iRYaDY; https://simplywall.st/stocks/au/transportation/asx-qan/qantas-airways-shares; https://investor.qantas.com/DownloadFile.axd?file=%2FReport%2FComNews%2F20160824%2F01770469.pdf; https://www.fool.com.au/2016/04/18/why-the-qantas-share-price-has-crashed-today/; https://www.ig.com/au/news-and-trade-ideas/will-qantas-shares-be-joyced-along-with-the-customers--220930,,"Yes, several **Qantas safety incidents** were reported between January 14, 2016 and January 21, 2016:

- **Qantas Flight 144**  
  - **Incident:** Engine failure, mayday call issued, downgraded to pan-pan; landed safely  
  - **Date:** January 18, 2016  
  - **Flight Number:** QF144 (Auckland to Sydney)[2][3]

- **Qantas Flight 101**  
  - **Incident:** Returned to Sydney due to faulty pitot tube heating (anti-icing component)  
  - **Date:** January 19, 2016  
  - **Flight Number:** QF101 (Sydney to Nadi, Fiji)[2][3]

- **Qantas Flight 1516**  
  - **Incident:** Turned back to Melbourne due to flap problem  
  - **Date:** January 20, 2016  
  - **Flight Number:** QF1516 (Melbourne to Canberra)[2]

- **Qantas Flight 430**  
  - **Incident:** Returned to Melbourne due to minor engine issue  
  - **Date:** January 20, 2016  
  - **Flight Number:** QF430 (Melbourne to Sydney)[2][3]

- **Qantas Flight 686**  
  - **Incident:** Aborted take-off and returned to terminal after fault detected  
  - **Date:** January 20, 2016  
  - **Flight Number:** QF686 (Adelaide to Melbourne)[2]

No injuries were reported in these incidents."
