company,meeting_date,meeting_type,motion_number,proposal,management_recommendation,hesta_vote,year,source
AMA Group Limited,2021-11-18,Annual,10,Approve Share Buy-back (Stephen James Harding-Smith),For,For,2021,glasslewis_detail
AMA Group Limited,2021-11-18,Annual,11,Approve Share Buy-back (James Alexander Timuss),For,For,2021,glasslewis_detail
AMA Group Limited,2021-11-18,Annual,12,Approve Share Buy-back (Stipe (Steve) Popovic and Biserka (Betty) Popovic),For,For,2021,glasslewis_detail
AMA Group Limited,2021-11-18,Annual,13,Renew Proportional Takeover Provisions,For,For,2021,glasslewis_detail
AMA Group Limited,2020-11-19,Annual,1,Remuneration Report,For,For,2020,glasslewis_detail
AMA Group Limited,2020-11-19,Annual,2,Re-elect Nicole Cook,For,For,2020,glasslewis_detail
AMA Group Limited,2020-11-19,Annual,3,Elect Carl S. Bizon,For,For,2020,glasslewis_detail
AMA Group Limited,2020-11-19,Annual,4,Re-elect Anthony Day,For,For,2020,glasslewis_detail
AMA Group Limited,2020-11-19,Annual,5,Ratify Placement of Securities,For,For,2020,glasslewis_detail
AMA Group Limited,2020-11-19,Annual,6,Equity Grant (MD/CEO Andrew Hopkins),For,Against,2020,glasslewis_detail
AMA Group Limited,2020-11-19,Annual,7,Approve Share Buy-back (LPGAS Vendor - Arefam Investment Pty Limited),For,For,2020,glasslewis_detail
AMA Group Limited,2020-11-19,Annual,8,Approve Share Buy-back (SRFE Pty Limited ATF SRFE Family Trust),For,For,2020,glasslewis_detail
AMA Group Limited,2020-11-19,Annual,9,Board Spill Resolution (Conditional),Against,Against,2020,glasslewis_detail
AMA Group Limited,2019-11-20,Annual,1,Remuneration Report,For,Against,2019,glasslewis_detail
AMA Group Limited,2019-11-20,Annual,2,Elect Anthony Day,For,For,2019,glasslewis_detail
AMA Group Limited,2019-11-20,Annual,3,Elect Simon C. Moore,For,For,2019,glasslewis_detail
AMA Group Limited,2019-11-20,Annual,4,Re-elect Raymond Smith-Roberts,For,Abstain,2019,glasslewis_detail
AMA Group Limited,2019-11-20,Annual,5,Re-elect Leath Nicholson,For,Against,2019,glasslewis_detail
AMA Group Limited,2019-11-20,Annual,6,Ratify Placement of securities (BMB Prestige Group Vendors),For,For,2019,glasslewis_detail
AMA Group Limited,2019-11-20,Annual,7,Ratify Placement of securities (Micra Vendors),For,For,2019,glasslewis_detail
AMA Group Limited,2019-11-20,Annual,8,Ratify Placement of securities (Craig Hall Bodyworks Vendors),For,For,2019,glasslewis_detail
AMA Group Limited,2019-11-20,Annual,9,Appoint Auditor,For,For,2019,glasslewis_detail
AMA Group Limited,2019-11-20,Annual,10,Equity Grant (CEO Andrew Hopkins),For,Against,2019,glasslewis_detail
AMA Group Limited,2019-11-20,Annual,11,Approve Increase in NED's Fee Cap,For,For,2019,glasslewis_detail
AMA Group Limited,2019-11-20,Annual,12,Ratify Placement of securities (Institutional Investors),For,Abstain,2019,glasslewis_detail
AMA Group Limited,2019-11-20,Annual,13,Approve Share Buy-Back,For,For,2019,glasslewis_detail
AMA Group Limited,2018-11-22,Annual,1,Remuneration Report,For,Against,2018,glasslewis_detail
AMA Group Limited,2018-11-22,Annual,2,Re-elect Andrew Hopkins,For,For,2018,glasslewis_detail
AMA Group Limited,2018-11-22,Annual,3,Ratify Placement of securities (BMB Prestige Group Vendors),For,For,2018,glasslewis_detail
AMA Group Limited,2018-11-22,Annual,4,Ratify Placement of securities (Mirca Vendors),For,For,2018,glasslewis_detail
AMA Group Limited,2018-11-22,Annual,5,Ratify of Placement of securities (Repair Management Australia Group Vendors),For,For,2018,glasslewis_detail
AMA Group Limited,2018-11-22,Annual,6,Approve Employee Equity Plan,For,Against,2018,glasslewis_detail
AMA Group Limited,2017-11-29,Annual,1,Remuneration Report,For,For,2017,glasslewis_detail
AMA Group Limited,2017-11-29,Annual,2,Re-elect Hugh W. Robertson,For,For,2017,glasslewis_detail
AMA Group Limited,2017-11-29,Annual,3,Re-elect Brian Austin,For,For,2017,glasslewis_detail
AMA Group Limited,2017-11-29,Annual,4,Ratify Placement of Securities (BMB Prestige Group Vendors),For,For,2017,glasslewis_detail
AMA Group Limited,2017-11-29,Annual,5,Ratify Placement of Securities (Micra Vendors),For,For,2017,glasslewis_detail
AMA Group Limited,2017-11-29,Annual,6,Ratify Placement of Securities (ASNU Vendors),For,For,2017,glasslewis_detail
AMA Group Limited,2017-11-29,Annual,7,Ratify Placement of Securities (Autoco Group Vendors),For,For,2017,glasslewis_detail
AMA Group Limited,2017-11-29,Annual,8,Approve Issue of Securities (RMA Vendors),For,For,2017,glasslewis_detail
AMA Group Limited,2016-11-25,Annual,1,Remuneration Report,For,For,2016,glasslewis_detail
AMA Group Limited,2016-11-25,Annual,2,Re-elect Raymond Smith-Roberts,For,For,2016,glasslewis_detail
AMA Group Limited,2016-11-25,Annual,3,Elect Leath Nicholson,For,For,2016,glasslewis_detail
AMA Group Limited,2016-11-25,Annual,4,Elect Brian Austin,For,For,2016,glasslewis_detail
AMA Group Limited,2016-11-25,Annual,5,Elect Andrew Hopkins,For,For,2016,glasslewis_detail
AMA Group Limited,2016-11-25,Annual,6,Approve Issue of Securities,For,For,2016,glasslewis_detail
amaysim Australia Limited,2017-10-27,Annual,2,Remuneration Report,For,Against,2017,glasslewis_detail
amaysim Australia Limited,2017-10-27,Annual,3,Re-elect Jodie Sangster,For,For,2017,glasslewis_detail
amaysim Australia Limited,2017-10-27,Annual,4,Re-elect Thorsten Kraemer,For,For,2017,glasslewis_detail
amaysim Australia Limited,2017-10-27,Annual,6,Approve Financial Assistance (Click Acquisition),For,For,2017,glasslewis_detail
amaysim Australia Limited,2017-10-27,Annual,7,Equity Grant (MD/CEO Julian Ogrin),For,Against,2017,glasslewis_detail
amaysim Australia Limited,2016-11-17,Annual,2,REMUNERATION REPORT,For,For,2016,glasslewis_detail
amaysim Australia Limited,2016-11-17,Annual,3,Appointment of Auditor,For,For,2016,glasslewis_detail
amaysim Australia Limited,2016-11-17,Annual,4,Re-elect Rolf Hansen,For,For,2016,glasslewis_detail
amaysim Australia Limited,2016-11-17,Annual,6,Approve Issue of Securities (Vaya Acquisition),For,For,2016,glasslewis_detail
Amcor Limited,2016-10-20,Annual,3,Remuneration Report,For,For,2016,glasslewis_detail
Amcor Plc,2025-02-26,Special,1,"Share Issuance in Connection with Merger with Berry Global Group, Inc",For,For,2025,glasslewis_detail
Amcor Plc,2025-02-26,Special,2,Right to Adjourn Meeting,For,For,2025,glasslewis_detail
Amcor Plc,2024-11-07,Annual,2,Ratification of Auditor,For,For,2024,glasslewis_detail
Amcor Plc,2024-11-07,Annual,3,Advisory Vote on Executive Compensation,For,For,2024,glasslewis_detail
Amcor Plc,2023-11-08,Annual,2,Ratification of Auditor,For,For,2023,glasslewis_detail
Amcor Plc,2023-11-08,Annual,3,Advisory Vote on Executive Compensation,For,For,2023,glasslewis_detail
Amcor Plc,2023-11-08,Annual,4,Renewal of Share Purchase Mandate,For,For,2023,glasslewis_detail
Amcor Plc,2022-11-09,Annual,2,Ratification of Auditor,For,For,2022,glasslewis_detail
Amcor Plc,2022-11-09,Annual,3,ADVISORY VOTE ON EXECUTIVE COMPENSATION,For,For,2022,glasslewis_detail
Amcor Plc,2021-11-10,Annual,2,Ratification of Auditor,For,For,2021,glasslewis_detail
Amcor Plc,2021-11-10,Annual,3,ADVISORY VOTE ON EXECUTIVE COMPENSATION,For,Against,2021,glasslewis_detail
Amcor Plc,2020-11-04,Annual,2,Ratification of Auditor,For,For,2020,glasslewis_detail
Amcor Plc,2020-11-04,Annual,3,ADVISORY VOTE ON EXECUTIVE COMPENSATION,For,For,2020,glasslewis_detail
Amcor Plc,2019-11-05,Annual,2,Ratification of Auditor,For,For,2019,glasslewis_detail
Amcor Plc,2019-11-05,Annual,3,ADVISORY VOTE ON EXECUTIVE COMPENSATION,For,Against,2019,glasslewis_detail
Amcor Plc,2019-05-02,Special,1,Merger/Acquisition,For,For,2019,glasslewis_detail
Amcor Plc,2018-10-11,Annual,3,Equity Grant (MD/CEO Ron Delia - LTIP),For,For,2018,glasslewis_detail
Amcor Plc,2018-10-11,Annual,4,Equity Grant (MD/CEO Ron Delia - MIP),For,For,2018,glasslewis_detail
Amcor Plc,2018-10-11,Annual,5,Remuneration Report,For,For,2018,glasslewis_detail
Amcor Plc,2017-11-01,Annual,3,Equity Grant (MD/CEO Ron Delia),For,For,2017,glasslewis_detail
Amcor Plc,2017-11-01,Annual,4,Approve Termination Benefits,For,For,2017,glasslewis_detail
Amcor Plc,2017-11-01,Annual,5,Remuneration Report,For,For,2017,glasslewis_detail
Amotiv Ltd.,2024-10-21,Annual,3,REMUNERATION REPORT,For,For,2024,glasslewis_detail
Amotiv Ltd.,2024-10-21,Annual,4,Equity Grant (MD/CEO Graeme Whickman),For,For,2024,glasslewis_detail
Amotiv Ltd.,2024-10-21,Annual,5,Approve Increase in NEDs' Fee Cap,N/A,For,2024,glasslewis_detail
Amotiv Ltd.,2024-10-21,Annual,6,Approve Financial Assistance,For,For,2024,glasslewis_detail
Amotiv Ltd.,2024-06-24,Special,1,Change in Company Name,For,For,2024,glasslewis_detail
Amotiv Ltd.,2023-10-26,Annual,3,REMUNERATION REPORT,For,For,2023,glasslewis_detail
Amotiv Ltd.,2023-10-26,Annual,4,Equity Grant (MD/CEO Graeme Whickman),For,For,2023,glasslewis_detail
Amotiv Ltd.,2023-10-26,Annual,5,Renew Proportional Takeover Provisions,For,For,2023,glasslewis_detail
Amotiv Ltd.,2023-10-26,Annual,6,Board Spill Resolution,Against,Against,2023,glasslewis_detail
Amotiv Ltd.,2022-10-27,Annual,2,Re-elect Graeme A. Billings,For,For,2022,glasslewis_detail
Amotiv Ltd.,2022-10-27,Annual,3,Remuneration Report,For,Against,2022,glasslewis_detail
Amotiv Ltd.,2022-10-27,Annual,4,Equity Grant (MD/CEO Graeme Whickman - LTI),For,Against,2022,glasslewis_detail
Amotiv Ltd.,2022-10-27,Annual,5,Equity Grant (MD/CEO Graeme Whickman - STI),For,For,2022,glasslewis_detail
Amotiv Ltd.,2022-10-27,Annual,6,Approve Financial Assistance,For,For,2022,glasslewis_detail
Amotiv Ltd.,2021-10-29,Annual,4,REMUNERATION REPORT,For,For,2021,glasslewis_detail
Amotiv Ltd.,2021-10-29,Annual,5,Equity Grant (MD/CEO Graeme Whickman),For,For,2021,glasslewis_detail
Amotiv Ltd.,2021-10-29,Annual,6,Approve Financial Assistance (Australian Clutch Services),For,For,2021,glasslewis_detail
Amotiv Ltd.,2020-10-27,Annual,2,Elect Jennifer A. Douglas,For,For,2020,glasslewis_detail
Amotiv Ltd.,2020-10-27,Annual,3,REMUNERATION REPORT,For,For,2020,glasslewis_detail
Amotiv Ltd.,2020-10-27,Annual,4,Equity Grant (MD/CEO Graeme Whickman),For,For,2020,glasslewis_detail
Amotiv Ltd.,2020-10-27,Annual,5,Renew Proportional Takeover Provisions,For,For,2020,glasslewis_detail
Amotiv Ltd.,2019-10-24,Annual,3,REMUNERATION REPORT,For,For,2019,glasslewis_detail
Amotiv Ltd.,2019-10-24,Annual,4,Equity Grant (MD/CEO Graeme Whickman),For,For,2019,glasslewis_detail
Amotiv Ltd.,2018-10-25,Annual,3,REMUNERATION REPORT,For,For,2018,glasslewis_detail
Amotiv Ltd.,2018-10-25,Annual,4,Equity Grant (MD/CEO Graeme Whickman),For,For,2018,glasslewis_detail
Amotiv Ltd.,2016-10-25,Annual,3,REMUNERATION REPORT,For,For,2016,glasslewis_detail
Amotiv Ltd.,2016-10-25,Annual,4,Equity Grant (MD/CEO Jonathan Ling),For,For,2016,glasslewis_detail
AMP Limited,2025-04-11,Annual,3,Remuneration Report,For,For,2025,glasslewis_detail
AMP Limited,2025-04-11,Annual,4,Equity Grant (MD/CEO Alexis George),For,For,2025,glasslewis_detail
AMP Limited,2024-04-12,Annual,3,Remuneration Report,For,For,2024,glasslewis_detail
AMP Limited,2024-04-12,Annual,4,Equity Grant (MD/CEO Alexis George),For,For,2024,glasslewis_detail
AMP Limited,2024-04-12,Annual,5,Approve Share Buy-Back,For,For,2024,glasslewis_detail
AMP Limited,2024-04-12,Annual,6,Board Spill,Against,Against,2024,glasslewis_detail
AMP Limited,2023-03-31,Annual,3,Remuneration Report,For,For,2023,glasslewis_detail
AMP Limited,2023-03-31,Annual,4,Equity Grant (MD/CEO Alexis George),For,For,2023,glasslewis_detail
AMP Limited,2023-03-31,Annual,5,Approve Share Buy-back,For,For,2023,glasslewis_detail
AMP Limited,2022-05-20,Annual,3,Remuneration Report,For,For,2022,glasslewis_detail
AMP Limited,2022-05-20,Annual,4,Equity Grant (MD/CEO LTI),For,For,2022,glasslewis_detail
AMP Limited,2021-04-30,Annual,2,Elect Kate McKenzie,For,For,2021,glasslewis_detail
AMP Limited,2021-04-30,Annual,3,Remuneration Report,For,Against,2021,glasslewis_detail
AMP Limited,2021-04-30,Annual,5,Board Spill,Against,For,2021,glasslewis_detail
AMP Limited,2020-05-08,Annual,3,Remuneration Report,For,Against,2020,glasslewis_detail
AMP Limited,2020-05-08,Annual,4,Cancellation of a Replaced MD/CEO Equity Award,For,For,2020,glasslewis_detail
AMP Limited,2020-05-08,Annual,5,REFRESH PLACEMENT CAPACITY,For,For,2020,glasslewis_detail
AMP Limited,2020-05-08,Annual,6,Approve Issue of Securities (Conversion of Convertible Notes),For,For,2020,glasslewis_detail
AMP Limited,2019-05-02,Annual,3,Remuneration Report,For,For,2019,glasslewis_detail
AMP Limited,2019-05-02,Annual,4,AMENDMENTS TO CONSTITUTION,For,For,2019,glasslewis_detail
AMP Limited,2019-05-02,Annual,5,Board Spill Resolution,Against,Against,2019,glasslewis_detail
AMP Limited,2018-05-10,Annual,3,Remuneration Report,For,Against,2018,glasslewis_detail
AMP Limited,2017-05-11,Annual,3,Remuneration Report,For,For,2017,glasslewis_detail
AMP Limited,2017-05-11,Annual,4,Equity Grant (MD/CEO Craig Meller),For,For,2017,glasslewis_detail
Amplitude Energy Ltd,2024-11-07,Annual,1,Remuneration Report,For,For,2024,glasslewis_detail
Amplitude Energy Ltd,2024-11-07,Annual,2,Re-elect Elizabeth (Betsy) A. Donaghey,For,For,2024,glasslewis_detail
Amplitude Energy Ltd,2024-11-07,Annual,3,Re-elect Giselle Marie Collins,For,For,2024,glasslewis_detail
Amplitude Energy Ltd,2024-11-07,Annual,4,Elect Gary Gray,For,For,2024,glasslewis_detail
Amplitude Energy Ltd,2024-11-07,Annual,5,Elect Frank Anton Tudor,For,For,2024,glasslewis_detail
Amplitude Energy Ltd,2024-11-07,Annual,6,Equity Grant (MD/CEO Jane Norman),For,For,2024,glasslewis_detail
Amplitude Energy Ltd,2024-11-07,Annual,7,Change in Company Name,For,For,2024,glasslewis_detail
Amplitude Energy Ltd,2023-11-09,Annual,1,Remuneration Report,For,For,2023,glasslewis_detail
Amplitude Energy Ltd,2023-11-09,Annual,2,Re-elect Timothy Bednall,For,For,2023,glasslewis_detail
Amplitude Energy Ltd,2023-11-09,Annual,3,Equity Grant (MD/CEO Jane Norman),For,For,2023,glasslewis_detail
Amplitude Energy Ltd,2022-11-10,Annual,1,Remuneration Report,For,For,2022,glasslewis_detail
Amplitude Energy Ltd,2022-11-10,Annual,2,Re-elect John Conde,For,For,2022,glasslewis_detail
Amplitude Energy Ltd,2022-11-10,Annual,3,Re-elect Hector Gordon,For,For,2022,glasslewis_detail
Amplitude Energy Ltd,2022-11-10,Annual,4,Renew Proportional Takeover Provisions,For,For,2022,glasslewis_detail
Amplitude Energy Ltd,2022-11-10,Annual,5,Approve Equity Incentive Plan,For,For,2022,glasslewis_detail
Amplitude Energy Ltd,2022-11-10,Annual,6,Equity Grant (MD David Maxwell),For,For,2022,glasslewis_detail
Amplitude Energy Ltd,2021-11-11,Annual,1,Remuneration Report,For,For,2021,glasslewis_detail
Amplitude Energy Ltd,2021-11-11,Annual,2,Re-elect Jeffrey W. Schneider,For,For,2021,glasslewis_detail
Amplitude Energy Ltd,2021-11-11,Annual,3,Re-elect Elizabeth (Betsy) A. Donaghey,For,For,2021,glasslewis_detail
Amplitude Energy Ltd,2021-11-11,Annual,4,Elect Giselle Marie Collins,For,For,2021,glasslewis_detail
Amplitude Energy Ltd,2021-11-11,Annual,5,Equity Grant (MD David Maxwell),For,For,2021,glasslewis_detail
Amplitude Energy Ltd,2020-11-12,Annual,1,Remuneration Report,For,For,2020,glasslewis_detail
Amplitude Energy Ltd,2020-11-12,Annual,2,Re-elect Hector M. Gordon,For,For,2020,glasslewis_detail
Amplitude Energy Ltd,2020-11-12,Annual,3,Elect Victoria Binns,For,For,2020,glasslewis_detail
Amplitude Energy Ltd,2020-11-12,Annual,4,Elect Timothy Bednall,For,For,2020,glasslewis_detail
Amplitude Energy Ltd,2020-11-12,Annual,5,Equity Grant (MD David Maxwell),For,For,2020,glasslewis_detail
Amplitude Energy Ltd,2020-11-12,Annual,6,Shareholder Proposal Regarding Facilitating Nonbinding Proposals,Against,Against,2020,glasslewis_detail
Amplitude Energy Ltd,2020-11-12,Annual,7,Shareholder Proposal Regarding Phase Out of Oil and Gas,Against,Against,2020,glasslewis_detail
Amplitude Energy Ltd,2019-11-07,Annual,1,Remuneration Report,For,For,2019,glasslewis_detail
Amplitude Energy Ltd,2019-11-07,Annual,2,Re-elect John C. Conde,For,For,2019,glasslewis_detail
Amplitude Energy Ltd,2019-11-07,Annual,3,Approve Amendments to the Equity Incentive Plan,For,For,2019,glasslewis_detail
Amplitude Energy Ltd,2019-11-07,Annual,4,Approve Amendments to Previous Equity Grants (MD David Maxwell),For,For,2019,glasslewis_detail
Amplitude Energy Ltd,2019-11-07,Annual,5,Equity Grant (MD David Maxwell),For,For,2019,glasslewis_detail
Amplitude Energy Ltd,2019-11-07,Annual,6,Renew Proportional Takeover Provisions,For,For,2019,glasslewis_detail
Amplitude Energy Ltd,2018-11-08,Annual,1,Remuneration Report,For,For,2018,glasslewis_detail
Amplitude Energy Ltd,2018-11-08,Annual,2,Re-elect Jeffrey W. Schneider,For,For,2018,glasslewis_detail
Amplitude Energy Ltd,2018-11-08,Annual,3,Elect Elizabeth (Betsy) A. Donaghey,For,For,2018,glasslewis_detail
Amplitude Energy Ltd,2018-11-08,Annual,4,Equity Grant (MD David Maxwell),For,For,2018,glasslewis_detail
Amplitude Energy Ltd,2018-11-08,Annual,5,Renew Equity Incentive Plan,For,For,2018,glasslewis_detail
Amplitude Energy Ltd,2018-11-08,Annual,6,Approve Increase in NEDs' Fee Cap,For,For,2018,glasslewis_detail
Amplitude Energy Ltd,2017-11-09,Annual,1,Remuneration Report,For,For,2017,glasslewis_detail
Amplitude Energy Ltd,2017-11-09,Annual,2,Re-elect Alice J.M. Williams,For,For,2017,glasslewis_detail
Amplitude Energy Ltd,2017-11-09,Annual,3,Elect Hector M. Gordon,For,For,2017,glasslewis_detail
Amplitude Energy Ltd,2017-11-09,Annual,4,Equity Grant (MD David Maxwell),For,For,2017,glasslewis_detail
Amplitude Energy Ltd,2017-11-09,Annual,5,Ratify Placement of Securities,For,For,2017,glasslewis_detail
Amplitude Energy Ltd,2016-11-10,Annual,1,Remuneration Report,For,For,2016,glasslewis_detail
Amplitude Energy Ltd,2016-11-10,Annual,2,Re-elect John C. Conde,For,For,2016,glasslewis_detail
Amplitude Energy Ltd,2016-11-10,Annual,3,Equity Grant (MD David Maxwell),For,For,2016,glasslewis_detail
Amplitude Energy Ltd,2016-11-10,Annual,4,Equity Grant (Executive Director Hector Gordon),For,For,2016,glasslewis_detail
Amplitude Energy Ltd,2016-11-10,Annual,5,Ratify Placement of Securities,For,For,2016,glasslewis_detail
Amplitude Energy Ltd,2016-11-10,Annual,6,Approval of the 10% Placement Facility,For,For,2016,glasslewis_detail
Amplitude Energy Ltd,2016-11-10,Annual,7,Renew Proportional Takeover Provisions,For,For,2016,glasslewis_detail
Ampol Limited,2025-05-15,Annual,2,Remuneration Report,For,For,2025,glasslewis_detail
Ampol Limited,2025-05-15,Annual,4,Equity Grant (MD/CEO Matthew Halliday),For,For,2025,glasslewis_detail
Ampol Limited,2025-05-15,Annual,5,Renew Proportional Takeover Provisions,For,For,2025,glasslewis_detail
Ampol Limited,2025-05-15,Annual,6,Ratify Placement of Securities,For,For,2025,glasslewis_detail
Ampol Limited,2024-05-09,Annual,2,Remuneration Report,For,For,2024,glasslewis_detail
Ampol Limited,2024-05-09,Annual,4,Equity Grant (MD/CEO Matthew Halliday),For,For,2024,glasslewis_detail
Ampol Limited,2024-05-09,Annual,5,Approve Increase in NEDs' Fee Cap,N/A,For,2024,glasslewis_detail
Ampol Limited,2023-05-12,Annual,2,Remuneration Report,For,For,2023,glasslewis_detail
Ampol Limited,2023-05-12,Annual,4,Equity Grant (MD/CEO Matthew Halliday),For,For,2023,glasslewis_detail
Ampol Limited,2022-05-12,Annual,2,Remuneration Report,For,For,2022,glasslewis_detail
Ampol Limited,2022-05-12,Annual,4,Equity Grant (MD/CEO Matthew Halliday),For,For,2022,glasslewis_detail
Ampol Limited,2022-05-12,Annual,5,Renew Proportional Takeover Provisions,For,For,2022,glasslewis_detail
Ampol Limited,2021-05-13,Annual,2,Remuneration Report,For,For,2021,glasslewis_detail
Ampol Limited,2021-05-13,Annual,4,Equity Grant (MD/CEO Matthew Halliday),For,For,2021,glasslewis_detail
Ampol Limited,2020-05-14,Annual,1,Re-elect Melinda B. Conrad,For,For,2020,glasslewis_detail
Ampol Limited,2020-05-14,Annual,2,Remuneration Report,For,For,2020,glasslewis_detail
Ampol Limited,2020-05-14,Annual,3,Change of Company Name (to Ampol Limited),For,For,2020,glasslewis_detail
Ampol Limited,2019-05-09,Annual,3,Remuneration Report,For,For,2019,glasslewis_detail
Ampol Limited,2019-05-09,Annual,4,Equity Grant (MD/CEO Julian Segal),For,For,2019,glasslewis_detail
Ampol Limited,2019-05-09,Annual,5,Renew Proportional Takeover Provisions,For,For,2019,glasslewis_detail
Ampol Limited,2018-05-10,Annual,3,Remuneration Report,For,For,2018,glasslewis_detail
Ampol Limited,2018-05-10,Annual,4,Equity Grant (MD/CEO Julian Segal),For,For,2018,glasslewis_detail
Ampol Limited,2017-05-04,Annual,3,Remuneration Report,For,For,2017,glasslewis_detail
Ampol Limited,2017-05-04,Annual,4,Equity Grant (MD/CEO Julian Segal),For,For,2017,glasslewis_detail
Ansell Ltd.,2024-10-29,Annual,2,Re-elect Morten Falkenberg,For,For,2024,glasslewis_detail
Ansell Ltd.,2024-10-29,Annual,3,Renew Proportional Takeover Provisions,For,For,2024,glasslewis_detail
Ansell Ltd.,2024-10-29,Annual,4,Equity Grant (MD/CEO Neil Salmon),For,For,2024,glasslewis_detail
Ansell Ltd.,2024-10-29,Annual,5,REMUNERATION REPORT,For,For,2024,glasslewis_detail
Ansell Ltd.,2023-10-24,Annual,3,Equity Grant (MD/CEO Neil Salmon),For,For,2023,glasslewis_detail
Ansell Ltd.,2023-10-24,Annual,4,Approve Increase in NEDs' Fee Cap,For,For,2023,glasslewis_detail
Ansell Ltd.,2023-10-24,Annual,5,REMUNERATION REPORT,For,For,2023,glasslewis_detail
Ansell Ltd.,2022-11-10,Annual,3,Equity Grant (MD/CEO Neil Salmon),For,For,2022,glasslewis_detail
Ansell Ltd.,2022-11-10,Annual,4,REMUNERATION REPORT,For,For,2022,glasslewis_detail
Ansell Ltd.,2021-11-11,Annual,3,Amendments to Constitution,For,For,2021,glasslewis_detail
Ansell Ltd.,2021-11-11,Annual,4,Equity Grant (Former MD/CEO - FY2022 LTIP),For,For,2021,glasslewis_detail
Ansell Ltd.,2021-11-11,Annual,5,Equity Grant (Current MD/CEO - FY2022 LTIP),For,For,2021,glasslewis_detail
Ansell Ltd.,2021-11-11,Annual,6,REMUNERATION REPORT,For,For,2021,glasslewis_detail
Ansell Ltd.,2020-11-05,Annual,3,Adopt New Constitution,For,For,2020,glasslewis_detail
Ansell Ltd.,2020-11-05,Annual,4,Equity Grant (MD/CEO Magnus Nicolin),For,For,2020,glasslewis_detail
Ansell Ltd.,2020-11-05,Annual,5,REMUNERATION REPORT,For,For,2020,glasslewis_detail
Ansell Ltd.,2019-11-14,Annual,3,Approve Share Buy-back,For,For,2019,glasslewis_detail
Ansell Ltd.,2019-11-14,Annual,4,Equity Grant (MD/CEO Magnus Nicolin),For,Against,2019,glasslewis_detail
Ansell Ltd.,2019-11-14,Annual,5,REMUNERATION REPORT,For,Against,2019,glasslewis_detail
Ansell Ltd.,2018-10-18,Annual,3,Approve Share Buy-back,For,For,2018,glasslewis_detail
Ansell Ltd.,2018-10-18,Annual,4,Equity Grant (MD/CEO Magnus Nicolin),For,For,2018,glasslewis_detail
Ansell Ltd.,2018-10-18,Annual,5,REMUNERATION REPORT,For,For,2018,glasslewis_detail
Ansell Ltd.,2017-10-20,Annual,2,Amendments to Constitution,For,For,2017,glasslewis_detail
Ansell Ltd.,2017-10-20,Annual,4,Approve Share Buy-back,For,For,2017,glasslewis_detail
Ansell Ltd.,2017-10-20,Annual,5,Equity Grant (MD/CEO Magnus Nicolin),For,For,2017,glasslewis_detail
Ansell Ltd.,2017-10-20,Annual,6,REMUNERATION REPORT,For,For,2017,glasslewis_detail
Ansell Ltd.,2016-10-19,Annual,3,Equity Grant (MD/CEO Magnus Nicolin),For,For,2016,glasslewis_detail
Ansell Ltd.,2016-10-19,Annual,4,Renew Partial Takeover Provisions,For,For,2016,glasslewis_detail
Ansell Ltd.,2016-10-19,Annual,5,REMUNERATION REPORT,For,For,2016,glasslewis_detail
Ansell Ltd.,2016-10-19,Annual,6,Board Spill Resolution,Against,Against,2016,glasslewis_detail
APA Group.,2024-10-24,Annual,1,Remuneration Report,For,For,2024,glasslewis_detail
APA Group.,2024-10-24,Annual,2,Elect Samantha Lewis,For,For,2024,glasslewis_detail
APA Group.,2024-10-24,Annual,3,Elect David Lamont,For,For,2024,glasslewis_detail
APA Group.,2024-10-24,Annual,4,Re-elect Michael A. Fraser,For,For,2024,glasslewis_detail
APA Group.,2024-10-24,Annual,5,Re-elect Debra L. Goodin,For,For,2024,glasslewis_detail
APA Group.,2024-10-24,Annual,6,Equity Grant (MD/CEO Adam Watson),For,For,2024,glasslewis_detail
APA Group.,2024-10-24,Annual,8,Board Spill,Against,Against,2024,glasslewis_detail
APA Group.,2023-10-26,Annual,1,Remuneration Report,For,For,2023,glasslewis_detail
APA Group.,2023-10-26,Annual,2,Elect Nino Ficca,For,For,2023,glasslewis_detail
APA Group.,2023-10-26,Annual,3,Re-elect Peter C. Wasow,For,For,2023,glasslewis_detail
APA Group.,2023-10-26,Annual,4,Re-elect Shirley E. In't Veld,For,For,2023,glasslewis_detail
APA Group.,2023-10-26,Annual,5,Equity Grant (MD/CEO Adam Watson),For,For,2023,glasslewis_detail
APA Group.,2022-10-19,Annual,1,Remuneration Report,For,For,2022,glasslewis_detail
APA Group.,2022-10-19,Annual,2,Approval of Climate Transition Plan,For,Against,2022,glasslewis_detail
APA Group.,2022-10-19,Annual,3,Elect James E. Fazzino,For,For,2022,glasslewis_detail
APA Group.,2022-10-19,Annual,4,Elect Rhoda Phillippo,For,For,2022,glasslewis_detail
APA Group.,2021-10-21,Annual,1,Remuneration Report,For,For,2021,glasslewis_detail
APA Group.,2021-10-21,Annual,2,Re-elect Michael A. Fraser,For,For,2021,glasslewis_detail
APA Group.,2021-10-21,Annual,3,Re-elect Debra Lyn Goodin,For,For,2021,glasslewis_detail
APA Group.,2021-10-21,Annual,4,Equity Grant (MD/CEO Robert Wheals),For,For,2021,glasslewis_detail
APA Group.,2020-10-22,Annual,1,Remuneration Report,For,For,2020,glasslewis_detail
APA Group.,2020-10-22,Annual,2,Re-elect Peter C. Wasow,For,For,2020,glasslewis_detail
